,Tweets
90,"@PrivateDaniels Hi Buddie, kindly check your DM and respond. ^EC"
91,"@Thando_Mbedzi @econetzimbabwe @EcoCashZW Hey there, may we know if you tried the view token option. ^EVM"
92,@credentials90 We've seen that the token was not generated and have engaged Powertel for further assistance. We wil… https://t.co/4p5cf87Myz
93,@david21873165 How much are you querying? ^EVM
94,"@Rambybaloyi @econetzimbabwe Hey there, may you visit https://t.co/lonj9zS4YW to monitor your data usage. ^EVM"
95,"@naran_mlambo Hi there, tinokumbirawo kuziva dambudziko ramasangana naro. ^EVM"
96,@stuk_in_the_mud We are sorry you feel that way. ^EVM
97,@PrivateDaniels @GregTheMarketer Ku DM here Daniel? ^EVM
98,"@LindahMatiye Hi there, would you like us to convert the bundle to airtime or to convert it to a Whastapp bundle? ^EVM"
99,@DrMartinStrange We are sorry about that. We do hope that the issue is resolved soon. ^EVM
100,"@SpencerChikara1 @VimbaiSairon @econetzimbabwe Hi Spencer, tinokumbirawo kuziva dambudziko ramasangana naro. ^EVM"
101,@TanakaJairos Kindly note that you create the call barring PIN from your end. ^EVM
102,"@credentials90 May you DM your number, meter number, amount and transaction date. ^EVM"
103,"@ericfusire Hey there, may you log onto https://t.co/lonj9zS4YW to monitor your data usage. ^EVM"
104,"@ndzirambi @econetzimbabwe Hey there, may you DM your number so we can assist further. ^EVM"
105,@david21873165 May we know when this happened. ^EVM
106,@mmugochi We've checked your account and saw that that particular token was not generated. We have engaged Powertel… https://t.co/w9FTOkn7FH
107,"@bryain_elijah Hi Buddie, we are sorry you feel that way. Kindly note that we are working on your query and we will… https://t.co/7gtKer87tx"
108,"@mmugochi Hi Buddie, we apologize for the late response. Kindly note that we have engaged our Support team and ZESA… https://t.co/MY9nq0MWrM"
109,"@mmugochi Hi Buddie, we apologize for the late response. Kindly note that we have engaged our Support team and ZESA… https://t.co/g5x2pOrJ0Q"
110,"@credentials90 Hey there, did you try the view token option? ^EVM"
111,"@caidentadisa Hi Buddie, your concerns and feedback have been duly noted. Take note we are continuously working to… https://t.co/Ly1MsaTCKG"
112,"@SolicitorG Hi Buddie, kindly note Twitter bundles are usage based and the MBs can be exhausted according to how th… https://t.co/uIUOM6vDXu"
113,"@keithnare_keith Hi Keith, we apologize for the experience. May you kindly DM your mobile number, bundle value and… https://t.co/GBqWRlPhks"
114,"@NZhuwawo Hi Buddie, we apologize for the experience. Kindly note that your number &amp; bundle are active. May you kin… https://t.co/8R1lmde6NS"
115,"@iamkingkus Hi Buddie, kindly note that we are currently working on rectifying the intermittent challenges on the t… https://t.co/PCd4hCeyyL"
116,"@Minglas Hey there, please check your DM. ^EVM"
117,"@CaltonMujakachi Hi Buddie, may you kindly DM your mobile number, amount and a brief outline of the issue so we can check and assist. ^EC"
118,"@patiemaps5 Hi Buddie, thank you for getting in touch. We do value the feedback you provided and we have taken note… https://t.co/2MEKcnUIxf"
119,"@kamarkambona Hey there, may we know what type of transaction it was. ^EVM"
120,"@bull_eland Hi Buddie, we apologize for the experience. Kindly check your DM for the response. ^EC"
121,"@niccyril @iAmKudaMaynard Hey @niccyril, may you DM your number for further assistance. ^EVM"
122,"@EscobarPabllo1 Hey there, it's 111. We are also here to assist. You can DM your query and we will gladly assist you. ^EVM"
123,"@TinayeEdwellYAV @econetzimbabwe Hey there, may you DM your number, the sender's number, amount, transaction date,… https://t.co/SLMqH1ElOP"
124,"@Prockqid Good morning @Prockqid, we have engaged the relevant department for further assistance. ^EVM"
125,"@tinomunyati Hi @tinomunyati, we apologize for the experience. Kindly check your DM for the response. ^EC"
126,@MonicaRugoho We are sorry about this Monica. ^EVM
127,"@bryain_elijah Hey there, kindly check your DM for our response. ^EVM"
128,"@mmugochi Hello there, may we know if you tried the view token option. ^EVM"
129,"@ZvenyikaChindo3 Hey there, please note that we are working on resolving this challenge. ^EVM"
130,@lotan219 @EcoCashZW please assist. ^EVM
131,@TanakaJairos Kindly come again @TanakaJairos. How may we assist you? ^EVM
132,"@keithnare_keith Hey Keith, we have refreshed your line. May you restart your phone and try again. ^EVM"
133,"@earlcee7 @lexchari82 @econetzimbabwe In all honesty @earlcee7, we are looking for a solution. ^EVM"
134,"@PrivateDaniels @GregTheMarketer Hey Daniel, ko sei makarambirwa? May you DM your number, full name, ID number and… https://t.co/rmipWLPQE4"
135,"@GregTheMarketer Hi Gregory, may you DM your number and the time frame you are querying so we can check and advise accordingly. ^EVM"
136,"@NZhuwawo Hey there, we are happy to have assisted you. ^EVM"
137,"@munyagwetso Hi Buddie, may you kindly DM your mobile number, bundle value, amount and the bundle you want so we can check and assist. ^EC"
138,"@munyagwetso Hi Buddie, may you kindly DM your mobile number, bundle value, amount and the bundle you want so we can check and assist. ^EC"
139,"@munyagwetso Hi Buddie, may you kindly DM your mobile number, bundle value, amount and the bundle you want so we can check and assist. ^EC"
140,"@keithnare_keith Hey Keith, are you still facing this challenge? If so, DM your number and we will look at it. ^EVM"
141,"@ericfusire Hi Eric, we apologize for the experience. May you kindly visit: https://t.co/ZWYv77tKqR and check on ho… https://t.co/qJB3ta2pwM"
142,"@TChinoera Hi Buddie, we apologize for the experience. May you kindly visit for free: https://t.co/ZWYv77tKqR to vi… https://t.co/Ilf1vz7SSw"
143,"@KWarabile @iflixZW, may you kindly assist. ^EC"
144,"@mukwidigwi Yes Brian, we do. You can also engage @EcoCashZW for assistance. ^EVM"
145,"@iAmKudaMaynard Hi Maynard, we apologize for the experience. May you kindly DM your mobile number so we can check and assist. ^EC"
146,"@iAmKudaMaynard Hi Maynard, we apologize for the experience. May you kindly DM your mobile number so we can check and assist. ^EC"
147,"@King_Alpha99 Hey there, may you DM your number and the amount so we can check and advise accordingly. ^EVM"
148,"@admiremutizwa Hi Buddie, we apologize for the experience. May you kindly DM your mobile number and share the exper… https://t.co/UALciVyYH8"
